Date, Realm, RealmType, Community, NodeName, SessionID, User, SourcePage, SourceArea, DestPage, DestArea, Type, Status, AppMetricName, AppMetric, AppDimension1, AppDimension2, AppInfo, Referer, AcceptLanguages, UserAgent, TestShortId, TestId, TestLine, ShutdownMode, ScreenSize,Response Size,Page Generation,Element Id Instantiations,Thread CPU TimeMillis,RuntimeMillis,Search,SearchEvents,SearchMillis,SearchRows,SearchUpdate,SearchUpdateEvents,SearchUpdateMillis,SearchUpdateBytes,TabIndex,
Wed Aug 24 13:06:11 GMT 2016,,,-1,UnknownNode,:,,,,ariba/ui/aribaweb/core/AWXHandleExceptionPage,,,InternalError,,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/52.0.2743.116 Safari/537.36",,,,,,57,57,1,41,43,,,,,,,,,,
Wed Aug 24 13:06:12 GMT 2016,,,-1,UnknownNode,node01igme9cbyafm8xg21nyubygtg0.node0:,,,,ariba/ui/aribaweb/core/AWXHandleExceptionPage,,,InternalError,,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/52.0.2743.116 Safari/537.36",,,,,,57,57,,2,3,,,,,,,,,,
Wed Aug 24 13:06:12 GMT 2016,,,-1,UnknownNode,node01o7onhdslh8ctl4pjqt7k8plf1.node0:,,,,ariba/ui/aribaweb/core/AWXHandleExceptionPage,,,InternalError,,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/52.0.2743.116 Safari/537.36",,,,,,57,57,,1,1,,,,,,,,,,
Wed Aug 24 13:06:34 GMT 2016,,,-1,UnknownNode,node01ggao5cpa02gal9r83gbqvgrc2.node0:,,,,ariba/ui/aribaweb/core/AWXHandleExceptionPage,,,InternalError,,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/52.0.2743.116 Safari/537.36",,,,,,57,57,,1,1,,,,,,,,,,
Wed Aug 24 13:07:44 GMT 2016,,,-1,UnknownNode,node0yoiobnudy2to1qr07lnupsii63.node0:,,,,ariba/ui/aribaweb/core/AWXHandleExceptionPage,,,InternalError,,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/52.0.2743.116 Safari/537.36",,,,,,57,57,,1,1,,,,,,,,,,
Wed Aug 24 13:07:45 GMT 2016,,,-1,UnknownNode,node01mouk4gdac4qr1lz5xejp6n4e94.node0:,,,,ariba/ui/aribaweb/core/AWXHandleExceptionPage,,,InternalError,,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/52.0.2743.116 Safari/537.36",,,,,,57,57,,2,1,,,,,,,,,,
Wed Aug 24 13:07:45 GMT 2016,,,-1,UnknownNode,node0qbxja4b7e7b3duifrz7el8iw5.node0:,,,,ariba/ui/aribaweb/core/AWXHandleExceptionPage,,,InternalError,,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/52.0.2743.116 Safari/537.36",,,,,,57,57,,1,1,,,,,,,,,,
Wed Aug 24 13:07:45 GMT 2016,,,-1,UnknownNode,node01mwlx1f4gq4tuukspbsrmz9qk6.node0:,,,,ariba/ui/aribaweb/core/AWXHandleExceptionPage,,,InternalError,,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/52.0.2743.116 Safari/537.36",,,,,,57,57,,1,1,,,,,,,,,,
Wed Aug 24 13:07:46 GMT 2016,,,-1,UnknownNode,node0bd0qkn5xl2ou1gwud734nabvf7.node0:,,,,ariba/ui/aribaweb/core/AWXHandleExceptionPage,,,InternalError,,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/52.0.2743.116 Safari/537.36",,,,,,57,57,,1,1,,,,,,,,,,
Wed Aug 24 13:07:54 GMT 2016,,,-1,UnknownNode,node01mxa22weaip8ybs2v88t7k6t08.node0:,,,,ariba/ui/aribaweb/core/AWXHandleExceptionPage,,,InternalError,,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/52.0.2743.116 Safari/537.36",,,,,,57,57,,1,1,,,,,,,,,,
Wed Aug 24 13:36:06 GMT 2016,,,-1,UnknownNode,node09135piyfcjzj1imt7kcdn2iv29.node0:,,,,ariba/ui/aribaweb/core/AWXHandleExceptionPage,,,InternalError,,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/52.0.2743.116 Safari/537.36",,,,,,57,57,,1,1,,,,,,,,,,
